rank_abs_lr_coef,gene_id,gene_id_base,gene_name,lr_coef,abs_lr_coef,direction_if_high,scaler_mean,scaler_scale
664,ENSG00000106628.11,ENSG00000106628,,-0.03524758103137555,0.03524758103137555,normal,6.2469766277108745,0.7927316240634651
665,ENSG00000140939.14,ENSG00000140939,,0.03523730676658533,0.03523730676658533,tumor,4.643110214347912,1.114316718782874
666,ENSG00000184216.14,ENSG00000184216,,0.03522079550099769,0.03522079550099769,tumor,6.413680489464429,1.0190020641950448
667,ENSG00000128626.12,ENSG00000128626,,-0.03518564985040853,0.03518564985040853,normal,5.692936460650736,0.8348659367093666
668,ENSG00000173641.18,ENSG00000173641,,-0.035180448294275586,0.035180448294275586,normal,2.9510589511837737,2.1511360938316098
669,ENSG00000167670.16,ENSG00000167670,,0.035132710323578765,0.035132710323578765,tumor,3.5953606267903613,1.0199826270876389
670,ENSG00000075131.10,ENSG00000075131,,0.035038967052657945,0.035038967052657945,tumor,2.740220244449038,0.7198901854531872
671,ENSG00000136158.12,ENSG00000136158,,-0.034963053275327935,0.034963053275327935,normal,4.5379930663976005,1.2341682423291624
672,ENSG00000101447.15,ENSG00000101447,,0.03489153292725049,0.03489153292725049,tumor,3.500929277537272,1.9673584894725802
673,ENSG00000148057.16,ENSG00000148057,,-0.03479587634286235,0.03479587634286235,normal,3.4937712145706183,0.9042522354356561
674,ENSG00000099804.9,ENSG00000099804,,-0.03478854552512169,0.03478854552512169,normal,6.146647908980887,0.6669157617089975
675,ENSG00000143633.13,ENSG00000143633,,-0.034753057155204735,0.034753057155204735,normal,2.8624649788642644,0.7264602176844774
676,ENSG00000147257.15,ENSG00000147257,,0.0347251745036702,0.0347251745036702,tumor,4.119503983014171,2.4429090079532414
677,ENSG00000171714.12,ENSG00000171714,,0.034691056044863076,0.034691056044863076,tumor,1.5452373640728225,1.145879044793617
678,ENSG00000077157.22,ENSG00000077157,,0.0346701843384012,0.0346701843384012,tumor,3.3970445256306365,1.5190445547210205
679,ENSG00000131471.7,ENSG00000131471,,0.0346431816234161,0.0346431816234161,tumor,4.498410464310316,1.948069542116021
680,ENSG00000139112.11,ENSG00000139112,,-0.03454008369062945,0.03454008369062945,normal,5.8467059415266585,1.2774599581956412
681,ENSG00000079616.13,ENSG00000079616,,0.0345371836744446,0.0345371836744446,tumor,4.5185814913445785,1.0421464568688066
682,ENSG00000176890.16,ENSG00000176890,,-0.03452333748286375,0.03452333748286375,normal,2.5390027328058142,1.1007152655244374
683,ENSG00000160753.16,ENSG00000160753,,-0.03450270160030135,0.03450270160030135,normal,4.493289730409426,0.9984388373485589
684,ENSG00000171421.13,ENSG00000171421,,0.034438224934290405,0.034438224934290405,tumor,5.292946190694466,0.6998908080727709
685,ENSG00000263528.8,ENSG00000263528,,-0.0343629236200054,0.0343629236200054,normal,3.392779071067642,1.170510850263632
686,ENSG00000013306.16,ENSG00000013306,,0.03430119498855743,0.03430119498855743,tumor,7.0539249815851734,0.7999059420946601
687,ENSG00000102053.12,ENSG00000102053,,-0.03424272736939418,0.03424272736939418,normal,0.9845529563937195,0.6483716436179011
688,ENSG00000184840.12,ENSG00000184840,,-0.03423843791628182,0.03423843791628182,normal,7.299466656111392,0.7347168766487654
689,ENSG00000086504.17,ENSG00000086504,,-0.03422410462267011,0.03422410462267011,normal,5.754240996167355,0.6582155986036533
690,ENSG00000160688.19,ENSG00000160688,FLAD1,0.03421872587396843,0.03421872587396843,tumor,4.882163588678679,0.7792524077122192
691,ENSG00000007968.7,ENSG00000007968,,-0.03421124884545965,0.03421124884545965,normal,1.7163544661643773,1.2973729296907532
692,ENSG00000117114.20,ENSG00000117114,,0.034197406799350114,0.034197406799350114,tumor,2.9426873589350704,1.1824269190192072
693,ENSG00000180628.15,ENSG00000180628,,-0.034104436829063466,0.034104436829063466,normal,4.597363356259564,0.7922362266371897
694,ENSG00000189369.9,ENSG00000189369,,-0.034064143354356965,0.034064143354356965,normal,3.3820308460679214,1.2665473743779765
695,ENSG00000162616.9,ENSG00000162616,,0.03399672214171307,0.03399672214171307,tumor,4.2474149692062415,1.1456948336622683
696,ENSG00000172009.15,ENSG00000172009,,0.033969946382975076,0.033969946382975076,tumor,4.015885744527451,0.8318909898625776
697,ENSG00000113569.16,ENSG00000113569,,0.033968288886740326,0.033968288886740326,tumor,3.7125809137128956,0.9269688342553956
698,ENSG00000123374.11,ENSG00000123374,,0.033918829564866707,0.033918829564866707,tumor,3.996594574316911,0.8613363159963253
699,ENSG00000125505.17,ENSG00000125505,,-0.033848752871265105,0.033848752871265105,normal,5.586288697060436,0.8805636658944271
700,ENSG00000141577.14,ENSG00000141577,,0.033824055550418265,0.033824055550418265,tumor,3.5645868051232243,0.9284652616036285
701,ENSG00000141570.11,ENSG00000141570,,0.033781403120194745,0.033781403120194745,tumor,2.7972754257249375,0.8570436899369258
702,ENSG00000165244.7,ENSG00000165244,,0.033743623674563586,0.033743623674563586,tumor,2.6155256509722684,1.009148427094217
703,ENSG00000102898.12,ENSG00000102898,,0.033692590284926854,0.033692590284926854,tumor,6.055201971656231,0.7087168387191398
704,ENSG00000184226.15,ENSG00000184226,,-0.0336528554116791,0.0336528554116791,normal,0.5625198112870881,0.7046208404463753
705,ENSG00000213024.12,ENSG00000213024,,-0.03354813970836629,0.03354813970836629,normal,4.874624129629813,0.7999792318525746
